"","x$Date","WSEmax","VOLUME","lag","vol_chg","inflow"
"62",2018-01-06,121.78,8736.58673477173,8513.54809379578,223.038640975952,0.00258146575203648
"63",2018-01-07,121.78,8736.58673477173,8736.58673477173,0,0
"64",2018-01-08,121.81,9414.78351593018,8736.58673477173,678.196781158447,0.00784949978192647
"65",2018-01-09,121.84,10105.7320575714,9414.78351593018,690.948541641235,0.00799708960232911
"66",2018-01-10,121.84,10105.7320575714,10105.7320575714,0,0
"67",2018-01-11,121.84,10105.7320575714,10105.7320575714,0,0
"68",2018-01-12,121.84,10105.7320575714,10105.7320575714,0,0
"69",2018-01-13,121.83,9874.15048027039,10105.7320575714,-231.581577301025,0
"70",2018-01-14,121.83,9874.15048027039,9874.15048027039,0,0
"71",2018-01-15,121.83,9874.15048027039,9874.15048027039,0,0
"72",2018-01-16,121.83,9874.15048027039,9874.15048027039,0,0
"73",2018-01-17,121.83,9874.15048027039,9874.15048027039,0,0
"74",2018-01-18,121.83,9874.15048027039,9874.15048027039,0,0
"75",2018-01-19,121.83,9874.15048027039,9874.15048027039,0,0
"76",2018-01-20,121.83,9874.15048027039,9874.15048027039,0,0
"77",2018-01-21,121.83,9874.15048027039,9874.15048027039,0,0
"78",2018-01-22,121.82,9643.77219772339,9874.15048027039,-230.378282546997,0
"79",2018-01-23,121.82,9643.77219772339,9643.77219772339,0,0
"80",2018-01-24,121.82,9643.77219772339,9643.77219772339,0,0
"81",2018-01-25,121.82,9643.77219772339,9643.77219772339,0,0
"82",2018-01-26,121.82,9643.77219772339,9643.77219772339,0,0
"83",2018-01-27,121.82,9643.77219772339,9643.77219772339,0,0
"84",2018-01-28,121.81,9414.78351593018,9643.77219772339,-228.988681793213,0
"85",2018-01-29,121.81,9414.78351593018,9414.78351593018,0,0
"86",2018-01-30,121.81,9414.78351593018,9414.78351593018,0,0
"87",2018-01-31,121.81,9414.78351593018,9414.78351593018,0,0
"88",2018-02-01,121.81,9414.78351593018,9414.78351593018,0,0
"89",2018-02-02,121.81,9414.78351593018,9414.78351593018,0,0
"90",2018-02-03,121.8,9187.21334838867,9414.78351593018,-227.570167541504,0
"91",2018-02-04,121.8,9187.21334838867,9187.21334838867,0,0
"92",2018-02-05,121.8,9187.21334838867,9187.21334838867,0,0
"93",2018-02-06,121.8,9187.21334838867,9187.21334838867,0,0
"94",2018-02-07,121.79,8961.23330497742,9187.21334838867,-225.980043411255,0
"95",2018-02-08,121.79,8961.23330497742,8961.23330497742,0,0
"96",2018-02-09,121.79,8961.23330497742,8961.23330497742,0,0
"97",2018-02-10,121.79,8961.23330497742,8961.23330497742,0,0
"98",2018-02-11,121.78,8736.58673477173,8961.23330497742,-224.646570205688,0
"99",2018-02-12,121.78,8736.58673477173,8736.58673477173,0,0
"100",2018-02-13,121.77,8513.54809379578,8736.58673477173,-223.038640975952,0
"101",2018-02-14,121.77,8513.54809379578,8513.54809379578,0,0
"102",2018-02-15,121.77,8513.54809379578,8513.54809379578,0,0
"103",2018-02-16,121.76,8292.3939781189,8513.54809379578,-221.15411567688,0
"104",2018-02-17,121.76,8292.3939781189,8292.3939781189,0,0
"105",2018-02-18,121.76,8292.3939781189,8292.3939781189,0,0
"106",2018-02-19,121.75,8072.83374786377,8292.3939781189,-219.560230255127,0
"107",2018-02-20,121.75,8072.83374786377,8072.83374786377,0,0
"108",2018-02-21,121.75,8072.83374786377,8072.83374786377,0,0
"109",2018-02-22,121.74,7854.92544746399,8072.83374786377,-217.90830039978,0
"110",2018-02-23,121.74,7854.92544746399,7854.92544746399,0,0
"111",2018-02-24,121.73,7638.68040275574,7854.92544746399,-216.245044708252,0
"112",2018-02-25,121.73,7638.68040275574,7638.68040275574,0,0
"113",2018-02-26,121.74,7854.92544746399,7638.68040275574,216.245044708252,0.00250283616560477
"114",2018-02-27,121.74,7854.92544746399,7854.92544746399,0,0
"115",2018-02-28,121.74,7854.92544746399,7854.92544746399,0,0
"116",2018-03-01,121.83,9874.15048027039,7854.92544746399,2019.2250328064,0.0233706601019259
"117",2018-03-02,121.84,10105.7320575714,9874.15048027039,231.581577301025,0.00268034232987298
"118",2018-03-03,121.86,10573.2529449463,10105.7320575714,467.520887374878,0.00541112138165368
"119",2018-03-04,121.86,10573.2529449463,10573.2529449463,0,0
"120",2018-03-05,121.85,10338.8450679779,10573.2529449463,-234.407876968384,0
"121",2018-03-06,121.85,10338.8450679779,10338.8450679779,0,0
"122",2018-03-07,121.85,10338.8450679779,10338.8450679779,0,0
