Rowid_,OBJECTID,ELEVATION,AREA,VOLUME
,0,121.748572082520000,21865.750000000000000,8072.833747863769500
,0,121.758572082520000,22037.000000000000000,8292.393978118896500
,0,121.768572082520000,22214.000000000000000,8513.548093795776400
,0,121.778572082520000,22381.500000000000000,8736.586734771728500
,0,121.788572082520010,22538.750000000000000,8961.233304977417000
,0,121.798572082520000,22681.750000000000000,9187.213348388671900
,0,121.808572082520000,22824.000000000000000,9414.783515930175800
,0,121.818572082520010,22963.250000000000000,9643.772197723388700
,0,121.828572082520000,23100.000000000000000,9874.150480270385700
,0,121.838572082520000,23235.750000000000000,10105.732057571411000
,0,121.848572082519990,23371.500000000000000,10338.845067977905000
,0,121.858572082520000,23502.000000000000000,10573.252944946289000
,0,121.868572082520000,23633.250000000000000,10808.810930252075000
,0,121.878572082519990,23755.000000000000000,11045.814662933350000
